0000002000;scans;0000000052;DataLength
"header";0000000040;"lines"
"Date";26/10/2022;"Time";14:57:02
"ID";"EQP LOW ENERGY #15376";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";1,00;200,00;1,00;100,000;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"1st-dynode";-3500;"V"
"CRV_range";7;"c/s"
"CRV_resolution";6;"bits"
"D.C.quad";-12;"%"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"axis";-40,0;"V"
"cage";3,0;"V"
"delta-m";0;"%"
"discriminator";-10;"%"
"electron-energy";70,0;"V"
"emission";2,0000;"uA"
"energy";1,10;"V"
"extractor";304;"V"
"flight-focus";-105;"V"
"focus2";-200;"V"
"gate_delay";0,1;"uS"
"gate_width";0,0;"uS"
"gating";0;"( 1 = on, 0 = off )"
"gating_invert";0;"( 0 = normal, 1 = invert)"
"horiz";11;"%"
"lens1";356;"V"
"lens2";-110;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"multiplier";1800;"V"
"plates";7,40;"V"
"resolution";0;"%"
"suppressor";-200;"V"
"transit-energy";3,00;"V"
"vert";-34;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"SEM c/s"
0000000001;00:00:00;0000000071;   88,00;         0
0000000001;00:00:00;0000000071;   89,00;         0
0000000001;00:00:00;0000000071;   90,00;         0
0000000001;00:00:00;0000000071;   91,00;        20
0000000001;00:00:00;0000000071;   92,00;        30
0000000001;00:00:00;0000000071;   93,00;         0
0000000001;00:00:00;0000000071;   94,00;        10
0000000001;00:00:00;0000000071;   95,00;        30
0000000001;00:00:00;0000000071;   96,00;         0
0000000001;00:00:00;0000000071;   97,00;        10
0000000001;00:00:00;0000000071;   98,00;         0
0000000001;00:00:00;0000000071;   99,00;        10
0000000001;00:00:00;0000000071;  100,00;         0
0000000001;00:00:00;0000000071;  101,00;         0
0000000001;00:00:00;0000000071;  102,00;         0
0000000001;00:00:00;0000000071;  103,00;         0
0000000001;00:00:00;0000000071;  104,00;         0
0000000001;00:00:00;0000000071;  105,00;         0
0000000001;00:00:00;0000000071;  106,00;        10
0000000001;00:00:00;0000000071;  107,00;         0
0000000001;00:00:00;0000000071;  108,00;         0
0000000001;00:00:00;0000000071;  109,00;         0
0000000001;00:00:00;0000000071;  110,00;        30
0000000001;00:00:00;0000000071;  111,00;        10
0000000001;00:00:00;0000000071;  112,00;        20
0000000001;00:00:00;0000000071;  113,00;         0
0000000001;00:00:00;0000000071;  114,00;         0
0000000001;00:00:00;0000000071;  115,00;         0
0000000001;00:00:00;0000000071;  116,00;         0
0000000001;00:00:00;0000000071;  117,00;         0
0000000001;00:00:00;0000000071;  118,00;         0
0000000001;00:00:00;0000000071;  119,00;         0
0000000001;00:00:00;0000000071;  120,00;         0
0000000001;00:00:00;0000000071;  121,00;         0
0000000001;00:00:00;0000000071;  122,00;         0
0000000001;00:00:00;0000000071;  123,00;         0
0000000001;00:00:00;0000000071;  124,00;        10
0000000001;00:00:00;0000000071;  125,00;         0
0000000001;00:00:00;0000000071;  126,00;         0
0000000001;00:00:00;0000000071;  127,00;         0
0000000001;00:00:00;0000000071;  128,00;         0
0000000001;00:00:00;0000000071;  129,00;         0
0000000001;00:00:00;0000000071;  130,00;         0
0000000001;00:00:00;0000000071;  131,00;         0
0000000001;00:00:00;0000000071;  132,00;         0
0000000001;00:00:00;0000000071;  133,00;         0
0000000001;00:00:00;0000000071;  134,00;         0
0000000001;00:00:00;0000000071;  135,00;         0
0000000001;00:00:00;0000000071;  136,00;         0
0000000001;00:00:00;0000000071;  137,00;         0
0000000001;00:00:00;0000000071;  138,00;         0
0000000001;00:00:00;0000000071;  139,00;         0
0000000001;00:00:00;0000000071;  140,00;         0
0000000001;00:00:00;0000000071;  141,00;         0
0000000001;00:00:00;0000000071;  142,00;         0
0000000001;00:00:00;0000000071;  143,00;         0
0000000001;00:00:00;0000000071;  144,00;         0
0000000001;00:00:00;0000000071;  145,00;         0
0000000001;00:00:00;0000000071;  146,00;         0
0000000001;00:00:00;0000000071;  147,00;         0
0000000001;00:00:00;0000000071;  148,00;         0
0000000001;00:00:00;0000000071;  149,00;         0
0000000001;00:00:00;0000000071;  150,00;         0
0000000001;00:00:00;0000000071;  151,00;         0
0000000001;00:00:00;0000000071;  152,00;         0
0000000001;00:00:00;0000000071;  153,00;         0
0000000001;00:00:00;0000000071;  154,00;         0
0000000001;00:00:00;0000000071;  155,00;         0
0000000001;00:00:00;0000000071;  156,00;         0
0000000001;00:00:00;0000000071;  157,00;         0
0000000001;00:00:00;0000000071;  158,00;         0
0000000001;00:00:00;0000000071;  159,00;         0
0000000001;00:00:00;0000000071;  160,00;         0
0000000001;00:00:00;0000000071;  161,00;         0
0000000001;00:00:00;0000000071;  162,00;         0
0000000001;00:00:00;0000000071;  163,00;         0
0000000001;00:00:00;0000000071;  164,00;         0
0000000001;00:00:00;0000000071;  165,00;         0
0000000001;00:00:00;0000000071;  166,00;         0
0000000001;00:00:00;0000000071;  167,00;         0
0000000001;00:00:00;0000000071;  168,00;         0
0000000001;00:00:00;0000000071;  169,00;         0
